trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.5, 'e': 0.3859683143742421}",20,11,0.11128791680615757,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,2,3.2325945414836017,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.3798419628513787}",30,16,-30.71975643868353,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.3768153497429209}",20,0,-48.555701387810515,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.3738128529454665}",35,5,1.0709928485273708,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.3708342802981957}",20,16,10.44344635225443,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36787944117144233}",30,18,-18.15283108720303,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36494814645449375}",30,15,3.3943277401145657,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.36204020854348745}",20,3,-17.736440343952754,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.35915544132940463}",30,19,-46.59208621879726,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.3562936601861589}",20,5,-56.56753079302787,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,10,14.59880518773419,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.35063832495169295}",30,16,11.853423305452592,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.34784440891708746}",20,6,10.007187350062992,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3450727550433838}",20,0,-4.161055349991634,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.34232318594378797}",25,14,-50.90355139454692,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.33959552564493917}",25,11,-21.30918194618246,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3368895995756471}",20,16,7.6915806556907755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3342052345557198}",30,0,-17.921448989581965,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3315422587848797}",30,9,26.152620395175187,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.3289005018317685}",20,6,21.26224473515842,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,10,-39.37899512308191,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.32367996943253674}",20,12,-40.67376774322565,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.32110085987056064}",25,4,-34.77289981292112,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 0}",1
