trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
33,False,"{'a': 0.95, 'e': 0.19371148445850087}",25,6,30.472738650542464,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.95, 'e': 0.18402591023557582}",25,0,-21.48513956583566,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.95, 'e': 0.174824614723797}",20,0,-17.911194558035163,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
36,False,"{'a': 0.95, 'e': 0.16608338398760716}",25,3,-35.07873391871871,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.95, 'e': 0.1577792147882268}",30,0,30.406499495664896,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.95, 'e': 0.14989025404881545}",20,16,10.326940658336678,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.95, 'e': 0.14239574134637467}",25,7,24.130967589641106,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.13527595427905592}",35,20,8.337822226482658,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.95, 'e': 0.12851215656510312}",20,0,-34.26945591473638,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.95, 'e': 0.12208654873684796}",20,8,8.342700216369535,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.11598222130000556}",25,19,9.889013680410216,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.11018311023500528}",20,0,-2.6512836982072514,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.95, 'e': 0.10467395472325501}",20,7,10.28504667966382,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.09944025698709225}",25,17,6.783663293086358,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.09446824413773763}",30,12,15.822472752292509,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.08974483193085075}",20,5,15.523360416086463,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.0852575903343082}",20,0,2.2519958619621665,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
50,False,"{'a': 0.95, 'e': 0.0809947108175928}",30,18,17.191882567417224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.07694497527671315}",25,3,27.905763879515533,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.07309772651287749}",30,0,28.174909532858923,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.95, 'e': 0.06944284018723361}",20,15,9.80198221417074,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.06597069817787193}",20,0,17.945576375387834,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.06267216326897833}",25,7,34.67091325404545,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
